from_stop_id,to_stop_id,transfer_type,min_transfer_time
"100007","100003","2","120"
"100007","100012","2","120"
"100007","100020","2","120"
"100007","100023","2","120"
"100007","100024","2","120"
"100007","100025","2","120"
"100006","17101","2","300"
"100006","17102","2","300"
"100006","100011","2","120"
"100006","100001","2","120"
"100006","100010","2","120"
"100006","100009","2","120"
"100006","100008","2","120"
"100006","100007","2","120"
"100006","100005","2","120"
"100006","100004","2","120"
"100006","100013","2","120"
"100006","100003","2","120"
"100006","100012","2","120"
"100006","100020","2","120"
"100006","100023","2","120"
"100006","100024","2","120"
"100006","100025","2","120"
"100005","17101","2","300"
"100005","17102","2","300"
"100005","100011","2","120"
"100005","100001","2","120"
"100005","100010","2","120"
"100005","100009","2","120"
"100005","100008","2","120"
"100005","100007","2","120"
"100005","100006","2","120"
"100005","100004","2","120"
"100005","100013","2","120"
"100005","100003","2","120"
"100005","100012","2","120"
"100005","100020","2","120"
"100005","100023","2","120"
"100005","100024","2","120"
"100005","100025","2","120"
"100004","17101","2","300"
"100004","17102","2","300"
"100004","100011","2","120"
"100004","100001","2","120"
"100004","100010","2","120"
"100004","100009","2","120"
"100004","100008","2","120"
"100004","100007","2","120"
"100004","100006","2","120"
"100004","100005","2","120"
"100004","100013","2","120"
"100004","100003","2","120"
"100004","100012","2","120"
"100004","100020","2","120"
"100004","100023","2","120"
"100004","100024","2","120"
"100004","100025","2","120"
"100013","17101","2","300"
"100013","17102","2","300"
"100013","100011","2","120"
"100013","100001","2","120"
"100013","100010","2","120"
"100013","100009","2","120"
"100013","100008","2","120"
"100013","100007","2","120"
"100013","100006","2","120"
"100013","100005","2","120"
"100013","100004","2","120"
"100013","100003","2","120"
"100013","100012","2","120"
"100013","100020","2","120"
"100013","100023","2","120"
"100013","100024","2","120"
"100013","100025","2","120"
"100003","17101","2","300"
"100003","17102","2","300"
"100003","100011","2","120"
"100003","100001","2","120"
"100003","100010","2","120"
"100003","100009","2","120"
"100003","100008","2","120"
"100003","100007","2","120"
"100003","100006","2","120"
"100003","100005","2","120"
"100003","100004","2","120"
"100003","100013","2","120"
"100003","100012","2","120"
"100003","100020","2","120"
"100003","100023","2","120"
"100003","100024","2","120"
"100003","100025","2","120"
"100012","17101","2","300"
"100012","17102","2","300"
"100012","100011","2","120"
"100012","100001","2","120"
"100012","100010","2","120"
"100012","100009","2","120"
"100012","100008","2","120"
"100012","100007","2","120"
"100012","100006","2","120"
"100012","100005","2","120"
"100012","100004","2","120"
"100012","100013","2","120"
"100012","100003","2","120"
"100012","100020","2","120"
"100012","100023","2","120"
"100012","100024","2","120"
"100012","100025","2","120"
"100101","100102","2","60"
"100102","100101","2","60"
"105001","25601","2","300"
"105002","25601","2","300"
"106001","17001","2","300"
"106001","17002","2","300"
"106002","17001","2","300"
"106002","17002","2","300"
"119001","17001","2","180"
"119001","17002","2","180"
"126001","25801","2","300"
"126002","25801","2","300"
"138101","13702","2","300"
"138101","13701","2","300"
"143002","143001","3",""
"143001","143002","3",""
"157501","157502","3",""
"157502","157501","3",""
"158101","18301","2","300"
"158101","18302","2","300"
"161501","13301","2","180"
"161501","13302","2","180"
"161504","13301","2","180"
"161504","13302","2","180"
"161502","13301","2","180"
"161502","13302","2","180"
"603501","15801","2","180"
"603501","15802","2","180"
"603501","610101","2","180"
"610101","15801","2","300"
"610101","15802","2","300"
"610101","603501","2","180"
"187001","187002","3",""
"187002","187001","3",""
"199001","13301","2","180"
"199001","13302","2","180"
"199003","13301","2","180"
"199003","13302","2","180"
"639501","26301","2","300"
"641001","21902","2","180"
"641001","21901","2","180"
"641001","22002","2","180"
"641001","22001","2","180"
"641002","21902","2","180"
"641002","21901","2","180"
"641002","22002","2","180"
"641002","22001","2","180"
"642001","26101","2","300"
"642002","26101","2","300"
"658001","658002","3",""
"658002","658001","3",""
"665001","665002","3",""
"665002","665001","3",""
"688002","22202","2","180"
"688002","22201","2","180"
"689002","22102","2","180"
"689002","22101","2","180"
"691001","22402","2","300"
"691001","22401","2","300"
"722001","21401","2","180"
"722002","21401","2","180"
"723001","21501","2","180"
"723001","26201","2","300"
"723002","21501","2","180"
"723002","26201","2","300"
"730501","18101","2","300"
"730501","18102","2","300"
"206101","16702","2","180"
"206101","16701","2","180"
"819001","819002","3",""
"819002","819001","3",""
"820001","820002","3",""
"820002","820001","3",""
"821001","821002","3",""
"821002","821001","3",""
"822002","822001","3",""
"822001","822002","3",""
"823001","823002","3",""
"823002","823001","3",""
"824002","824001","3",""
"824001","824002","3",""
"825002","825001","3",""
"825001","825002","3",""
"230001","230002","3",""
"230002","230001","3",""
"230501","26001","2","300"
"230502","26001","2","300"
"285001","285002","3",""
"285002","285001","3",""
"295001","295002","3",""
"295002","295001","3",""
"297002","297001","3",""
"297001","297002","3",""
"299001","22302","2","180"
"299001","22301","2","180"
"299002","22302","2","180"
"299002","22301","2","180"
"314101","14302","2","300"
"314101","14301","2","300"
"326002","326001","3",""
"326001","326002","3",""
"327002","327001","3",""
"327001","327002","3",""
"903501","15601","2","120"
"903501","15602","2","120"
"903502","15601","2","120"
"903502","15602","2","120"
"903503","15601","2","120"
"903503","15602","2","120"
"903505","15601","2","120"
"903505","15602","2","120"
"903504","15601","2","120"
"903504","15602","2","120"
"903507","15601","2","120"
"903507","15602","2","120"
"910001","910002","3",""
"910002","910001","3",""
"913001","913002","3",""
"913002","913001","3",""
"915002","915001","3",""
"915001","915002","3",""
"916002","916001","3",""
"916001","916002","3",""
"917001","917002","3",""
"917002","917001","3",""
"919002","919001","3",""
"919001","919002","3",""
"920002","920001","3",""
"920001","920002","3",""
"921002","921001","3",""
"921001","921002","3",""
"931002","931001","3",""
"931001","931002","3",""
"932002","932001","3",""
"932001","932002","3",""
"25801","126001","2","300"
"25801","126002","2","300"
"26301","639501","2","300"
"26401","385001","2","300"
"26401","385021","2","300"
"26401","385017","2","300"
"26401","385007","2","300"
"26401","385006","2","300"
"26401","385004","2","300"
"26401","385014","2","300"
"26401","385003","2","300"
"26401","385002","2","300"
"26401","17301","2","300"
"26401","17302","2","300"
"26401","385019","2","300"
"26401","385023","2","300"
"26401","385043","2","300"
"26401","385044","2","300"
"26401","385045","2","300"
"26401","385046","2","300"
"26401","385048","2","300"
"26401","385049","2","300"
"26401","385050","2","300"
"26401","385025","2","300"
"26401","385027","2","300"
"26401","385029","2","300"
"27301","17901","2","300"
"27301","17902","2","300"
"27301","703101","2","300"
"703101","27301","2","300"
"245101","15301","2","300"
"245101","15302","2","300"
"927501","15401","2","300"
"927501","15402","2","300"
"28701","21701","2","300"
"713101","16402","2","300"
"713101","16401","2","300"
"26001","230501","2","300"
"26001","230502","2","300"
"26901","544001","2","300"
"199004","13301","2","180"
"199004","13302","2","180"
"15503","15502","2","120"
"15503","15501","2","120"
"15503","15504","2","120"
"15504","15502","2","120"
"15504","15501","2","120"
"15504","15503","2","120"
"18101","730501","2","300"
"18101","18102","2","0"
"18101","730502","2","300"
"18102","730501","2","300"
"18102","18101","2","0"
"18102","730502","2","300"
"18201","18202","2","0"
"18202","18201","2","0"
"18301","158101","2","300"
"18301","18302","2","0"
"18301","606501","2","300"
"18302","158101","2","300"
"18302","18301","2","0"
"18302","606501","2","300"
"18401","18402","2","0"
"18402","18401","2","0"
"18501","18502","2","0"
"18502","18501","2","0"
"18701","18702","2","0"
"18702","18701","2","0"
"544001","26901","2","300"
"25601","105001","2","300"
"25601","105002","2","300"
"123002","13501","3",""
"123002","13502","3",""
"123002","16902","2","240"
"123002","16901","2","240"
"123005","13501","3",""
"123005","13502","3",""
"123005","16902","2","240"
"123005","16901","2","240"
"123004","13501","3",""
"123004","13502","3",""
"123004","16902","2","240"
"123004","16901","2","240"
"606501","18301","2","300"
"606501","18302","2","300"
"123003","13501","3",""
"123003","13502","3",""
"123003","16902","2","240"
"123003","16901","2","240"
"123008","13501","3",""
"123008","13502","3",""
"123008","16902","2","240"
"123008","16901","2","240"
"385019","17301","2","300"
"385019","17302","2","300"
"385019","26401","2","300"
"385023","17301","2","300"
"385023","17302","2","300"
"385023","26401","2","300"
"385043","17301","2","300"
"385043","17302","2","300"
"385043","26401","2","300"
"385044","17301","2","300"
"385044","17302","2","300"
"385044","26401","2","300"
"385045","17301","2","300"
"385045","17302","2","300"
"385045","26401","2","300"
"385046","17301","2","300"
"385046","17302","2","300"
"385046","26401","2","300"
"385048","17301","2","300"
"385048","17302","2","300"
"385048","26401","2","300"
"385049","17301","2","300"
"385049","17302","2","300"
"385049","26401","2","300"
"385050","17301","2","300"
"385050","17302","2","300"
"385050","26401","2","300"
"215117","16002","2","300"
"215117","16001","2","300"
"215120","16002","2","300"
"215120","16001","2","300"
"215121","16002","2","300"
"215121","16001","2","300"
"215122","16002","2","300"
"215122","16001","2","300"
"215123","16002","2","300"
"215123","16001","2","300"
"215124","16002","2","300"
"215124","16001","2","300"
"385025","17301","2","300"
"385025","17302","2","300"
"385025","26401","2","300"
"730502","18101","2","300"
"730502","18102","2","300"
"385027","17301","2","300"
"385027","17302","2","300"
"385027","26401","2","300"
"385029","17301","2","300"
"385029","17302","2","300"
"385029","26401","2","300"
"161503","13301","2","180"
"161503","13302","2","180"
"100020","17101","2","300"
"100020","17102","2","300"
"100020","100011","2","120"
"100020","100001","2","120"
"100020","100010","2","120"
"100020","100009","2","120"
"100020","100008","2","120"
"100020","100007","2","120"
"100020","100006","2","120"
"100020","100005","2","120"
"100020","100004","2","120"
"100020","100013","2","120"
"100020","100003","2","120"
"100020","100012","2","120"
"100020","100023","2","120"
"100020","100024","2","120"
"100020","100025","2","120"
"100023","17101","2","300"
"100023","17102","2","300"
"100023","100011","2","120"
"100023","100001","2","120"
"100023","100010","2","120"
"100023","100009","2","120"
"100023","100008","2","120"
"100023","100007","2","120"
"100023","100006","2","120"
"100023","100005","2","120"
"100023","100004","2","120"
"100023","100013","2","120"
"100023","100003","2","120"
"100023","100012","2","120"
"100023","100020","2","120"
"100023","100024","2","120"
"100023","100025","2","120"
"100024","17101","2","300"
"100024","17102","2","300"
"100024","100011","2","120"
"100024","100001","2","120"
"100024","100010","2","120"
"100024","100009","2","120"
"100024","100008","2","120"
"100024","100007","2","120"
"100024","100006","2","120"
"100024","100005","2","120"
"100024","100004","2","120"
"100024","100013","2","120"
"100024","100003","2","120"
"100024","100012","2","120"
"100024","100020","2","120"
"100024","100023","2","120"
"100024","100025","2","120"
"100025","17101","2","300"
"100025","17102","2","300"
"100025","100011","2","120"
"100025","100001","2","120"
"100025","100010","2","120"
"100025","100009","2","120"
"100025","100008","2","120"
"100025","100007","2","120"
"100025","100006","2","120"
"100025","100005","2","120"
"100025","100004","2","120"
"100025","100013","2","120"
"100025","100003","2","120"
"100025","100012","2","120"
"100025","100020","2","120"
"100025","100023","2","120"
"100025","100024","2","120"
